"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Senate Coalitions.nlogo"
"cloture thresholds and obstruction costs"
"06/04/2024 04:58:06:434 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","alpha-above-cloture","dwnom1-emphasis","minority-floor-time-costs","prop-debate-costs","alpha","position-taking-benefits","cloture-threshold","obst-debate-costs","majority-floor-time-costs","obsts-to-block-vote","[step]","mean passing-coalitions","mean minority-supports"
"6","0.1","90","0.01","0.01","0.25","1","51","0.02","0.05","3","2000","75.69213973799127","64.92547940003794"
"5","0.1","90","0.01","0.01","0.25","1","51","0.01","0.05","3","2000","76.41386782231852","64.65683734514103"
"1","0.1","90","0.01","0.01","0.25","1","51","0.01","0.05","3","2000","76.00645161290322","63.45021037868157"
"4","0.1","90","0.01","0.01","0.25","1","51","0.01","0.05","3","2000","76.0120879120879","64.27138079311987"
"3","0.1","90","0.01","0.01","0.25","1","51","0.01","0.05","3","2000","76.00533617929563","63.80678390793918"
"2","0.1","90","0.01","0.01","0.25","1","51","0.01","0.05","3","2000","75.870116156283","64.4828061154217"
"7","0.1","90","0.01","0.01","0.25","1","51","0.02","0.05","3","2000","75.96376811594203","63.92564587271585"
"9","0.1","90","0.01","0.01","0.25","1","51","0.02","0.05","3","2000","74.68426724137932","61.155359820089956"
"8","0.1","90","0.01","0.01","0.25","1","51","0.02","0.05","3","2000","76.11388286334056","65.04527020654524"
"11","0.1","90","0.01","0.01","0.25","1","51","0.05","0.05","3","2000","75.48824786324786","63.52192493496834"
"10","0.1","90","0.01","0.01","0.25","1","51","0.02","0.05","3","2000","77.30489073881374","65.81007103108168"
"12","0.1","90","0.01","0.01","0.25","1","51","0.05","0.05","3","2000","76.43266171792153","63.70049333763653"
"13","0.1","90","0.01","0.01","0.25","1","51","0.05","0.05","3","2000","77.60643015521065","65.28969439892023"
"14","0.1","90","0.01","0.01","0.25","1","51","0.05","0.05","3","2000","75.59684210526316","62.73684210526311"
"15","0.1","90","0.01","0.01","0.25","1","51","0.05","0.05","3","2000","75.77871443624868","62.4753745361249"
"17","0.1","90","0.01","0.01","0.25","1","51","0.1","0.05","3","2000","75.40705128205128","63.97946859903379"
"16","0.1","90","0.01","0.01","0.25","1","51","0.1","0.05","3","2000","75.96030042918454","63.598619145362996"
"18","0.1","90","0.01","0.01","0.25","1","51","0.1","0.05","3","2000","75.5752688172043","62.316503038803184"
"19","0.1","90","0.01","0.01","0.25","1","51","0.1","0.05","3","2000","75.95031712473573","63.8156080522106"
"20","0.1","90","0.01","0.01","0.25","1","51","0.1","0.05","3","2000","76.82190265486726","65.27751058099261"
"21","0.1","90","0.01","0.01","0.25","1","60","0.01","0.05","3","2000","85.86003110419907","83.76834133477573"
"22","0.1","90","0.01","0.01","0.25","1","60","0.01","0.05","3","2000","84.98396501457727","81.89250855621744"
"23","0.1","90","0.01","0.01","0.25","1","60","0.01","0.05","3","2000","84.56709956709956","83.15138967312873"
"24","0.1","90","0.01","0.01","0.25","1","60","0.01","0.05","3","2000","84.55377207062601","81.2931816595714"
"25","0.1","90","0.01","0.01","0.25","1","60","0.01","0.05","3","2000","83.94542772861357","80.88367320764381"
"26","0.1","90","0.01","0.01","0.25","1","60","0.02","0.05","3","2000","84.79936808846762","79.87155711243891"
"27","0.1","90","0.01","0.01","0.25","1","60","0.02","0.05","3","2000","85.46222222222222","82.01932367149745"
"29","0.1","90","0.01","0.01","0.25","1","60","0.02","0.05","3","2000","84.92217327459618","81.49141288386632"
"28","0.1","90","0.01","0.01","0.25","1","60","0.02","0.05","3","2000","84.24693251533742","82.17858095492123"
"31","0.1","90","0.01","0.01","0.25","1","60","0.05","0.05","3","2000","84.64359351988217","82.27252353204831"
"32","0.1","90","0.01","0.01","0.25","1","60","0.05","0.05","3","2000","84.09063444108762","82.37882569289364"
"30","0.1","90","0.01","0.01","0.25","1","60","0.02","0.05","3","2000","85.06182380216383","81.80901821114166"
"33","0.1","90","0.01","0.01","0.25","1","60","0.05","0.05","3","2000","84.05909090909091","80.33267457180489"
"34","0.1","90","0.01","0.01","0.25","1","60","0.05","0.05","3","2000","84.38719512195122","81.5084835630964"
"35","0.1","90","0.01","0.01","0.25","1","60","0.05","0.05","3","2000","84.35920852359209","80.22632519356755"
"36","0.1","90","0.01","0.01","0.25","1","60","0.1","0.05","3","2000","81.67336010709505","72.72859554158651"
"37","0.1","90","0.01","0.01","0.25","1","60","0.1","0.05","3","2000","81.62482168330956","73.24939527383236"
"38","0.1","90","0.01","0.01","0.25","1","60","0.1","0.05","3","2000","81.77150537634408","73.9744039270686"
"39","0.1","90","0.01","0.01","0.25","1","60","0.1","0.05","3","2000","82.08904109589041","75.4675402025014"
"40","0.1","90","0.01","0.01","0.25","1","60","0.1","0.05","3","2000","81.7056338028169","73.49663196570722"
"41","0.1","90","0.01","0.01","0.25","1","67","0.01","0.05","3","2000","87.28846153846153","85.35395763656616"
"42","0.1","90","0.01","0.01","0.25","1","67","0.01","0.05","3","2000","86.90514469453376","85.7891793653012"
"43","0.1","90","0.01","0.01","0.25","1","67","0.01","0.05","3","2000","87.7031746031746","86.2491373360937"
"44","0.1","90","0.01","0.01","0.25","1","67","0.01","0.05","3","2000","86.26570048309179","84.43604284814097"
"45","0.1","90","0.01","0.01","0.25","1","67","0.01","0.05","3","2000","86.82434514637904","84.93669190058264"
"46","0.1","90","0.01","0.01","0.25","1","67","0.02","0.05","3","2000","86.64383561643835","84.99851101846318"
"47","0.1","90","0.01","0.01","0.25","1","67","0.02","0.05","3","2000","87.51053484602917","85.3991966739482"
"48","0.1","90","0.01","0.01","0.25","1","67","0.02","0.05","3","2000","87.38087774294671","85.31416110126746"
"49","0.1","90","0.01","0.01","0.25","1","67","0.02","0.05","3","2000","86.3876923076923","85.29765886287625"
"51","0.1","90","0.01","0.01","0.25","1","67","0.05","0.05","3","2000","86.16504854368932","83.05895595891364"
"52","0.1","90","0.01","0.01","0.25","1","67","0.05","0.05","3","2000","85.08077544426494","81.59724661094313"
"50","0.1","90","0.01","0.01","0.25","1","67","0.02","0.05","3","2000","87.00850340136054","86.04702750665473"
"53","0.1","90","0.01","0.01","0.25","1","67","0.05","0.05","3","2000","86.20454545454545","83.9690382081685"
"54","0.1","90","0.01","0.01","0.25","1","67","0.05","0.05","3","2000","85.8","82.5976418570375"
"55","0.1","90","0.01","0.01","0.25","1","67","0.05","0.05","3","2000","85.95800933125972","82.08465751572105"
"57","0.1","90","0.01","0.01","0.25","1","67","0.1","0.05","3","2000","83.13247863247864","75.14554688467713"
"56","0.1","90","0.01","0.01","0.25","1","67","0.1","0.05","3","2000","81.72513812154696","72.17751621426845"
"58","0.1","90","0.01","0.01","0.25","1","67","0.1","0.05","3","2000","81.04057971014493","71.33585381222424"
"59","0.1","90","0.01","0.01","0.25","1","67","0.1","0.05","3","2000","82.70547945205479","74.05896366885044"
"60","0.1","90","0.01","0.01","0.25","1","67","0.1","0.05","3","2000","82.00275103163686","72.92626039112483"
"61","0.1","90","0.01","0.01","0.25","1","100","0.01","0.05","3","2000","91.17355371900827","90.00479099293315"
"63","0.1","90","0.01","0.01","0.25","1","100","0.01","0.05","3","2000","91.4326923076923","90.06410256410244"
"62","0.1","90","0.01","0.01","0.25","1","100","0.01","0.05","3","2000","91.98853868194843","91.0427307836052"
"64","0.1","90","0.01","0.01","0.25","1","100","0.01","0.05","3","2000","91.56497175141243","90.46917219356412"
"65","0.1","90","0.01","0.01","0.25","1","100","0.01","0.05","3","2000","91.97050938337802","90.55251194777935"
"66","0.1","90","0.01","0.01","0.25","1","100","0.02","0.05","3","2000","91.61959654178675","89.58777095602039"
"67","0.1","90","0.01","0.01","0.25","1","100","0.02","0.05","3","2000","91.70056497175142","90.14369933677219"
"69","0.1","90","0.01","0.01","0.25","1","100","0.02","0.05","3","2000","91.99384615384615","90.37458193979923"
"68","0.1","90","0.01","0.01","0.25","1","100","0.02","0.05","3","2000","91.74846625766871","89.81728460922903"
"71","0.1","90","0.01","0.01","0.25","1","100","0.05","0.05","3","2000","81.66322314049587","72.88896873877103"
"72","0.1","90","0.01","0.01","0.25","1","100","0.05","0.05","3","2000","83.30818965517241","76.71008245877054"
"70","0.1","90","0.01","0.01","0.25","1","100","0.02","0.05","3","2000","91.54466858789625","90.320761809297"
"76","0.1","90","0.01","0.01","0.25","1","100","0.1","0.05","3","2000","77.75700934579439","67.19490721928749"
"73","0.1","90","0.01","0.01","0.25","1","100","0.05","0.05","3","2000","82.54207436399217","75.22334723049433"
"77","0.1","90","0.01","0.01","0.25","1","100","0.1","0.05","3","2000","79.25584795321637","71.35456394609703"
"74","0.1","90","0.01","0.01","0.25","1","100","0.05","0.05","3","2000","83.30661322645291","78.33057419186183"
"75","0.1","90","0.01","0.01","0.25","1","100","0.05","0.05","3","2000","83.17634854771784","75.92458957243355"
"78","0.1","90","0.01","0.01","0.25","1","100","0.1","0.05","3","2000","78.4049459041731","68.43626100396479"
"79","0.1","90","0.01","0.01","0.25","1","100","0.1","0.05","3","2000","77.24198250728863","66.3170237038914"
"80","0.1","90","0.01","0.01","0.25","1","100","0.1","0.05","3","2000","78.18934911242603","67.2691021353228"
